_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
1,711791,CR-0000100908,2,0,0,0,23-306-0529,False,False,36,11/2/2023 2:48:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,False,110241,SPRUANCE ST,WHITETHORNE DR,37.30061081,-121.936797
2,692417,CR-0000097700,1,0,0,0,23-081-0828,False,False,105,3/22/2023 10:31:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,True,False,22770,BOYNTON AV,CAPE COD CT,37.3027112,-121.9660425
3,682960,CR-0000092543,0,0,0,0,22-162-0927,False,False,100,6/11/2022 10:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Not Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,22857,BOYNTON AV,STARBIRD CI,37.30653479,-121.9660472
4,682508,CR-0000092075,1,0,0,0,22-093-0636,False,False,180,4/3/2022 5:09:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Bike At Fault,No Controls Present/Factor,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,North Of,BIKE,False,False,22868,BOYNTON AV,STARBIRD CI,37.30519132,-121.9660386
5,683141,CR-0000092724,0,0,0,0,22-045-4004,False,True,51,2/14/2022 8:00:00 AM,No Pedestrians Involved,Unknown,Unknown,Daylight,Unknown,Unknown,Unknown,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,False,22868,BOYNTON AV,STARBIRD CI,37.30519132,-121.9660386
6,690758,CR-0000096895,0,0,0,0,23-015-0781,False,False,0,1/15/2023 11:39:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Rain,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,22846,BOYNTON AV,RHODA DR,37.3048147,-121.9660411
7,711585,CR-0000101205,0,0,0,0,23-333-0469,False,False,0,11/29/2023 1:11:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Pedestrian,Intersection,Wheelchair,Not Applicable,Not Applicable,At,PED(WHEEL CHAIR),False,False,22846,BOYNTON AV,RHODA DR,37.3048147,-121.9660411
8,722358,CR-0000103652,0,0,0,0,24-092-0028,False,False,32,4/1/2024 12:53:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Unknown,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,True,True,22846,BOYNTON AV,RHODA DR,37.3048147,-121.9660411
9,685160,CR-0000093835,1,0,0,0,22-237-0409,False,False,44,8/25/2022 12:11:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Related,Motorcycle,Not Applicable,Not Applicable,South Of,,False,False,22912,BOYNTON AV,WOODCREEK LN,37.3040967,-121.9660489
10,688796,CR-0000094642,0,0,0,0,22-303-4002,False,True,,10/30/2022 3:30:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Related,Unknown,Not Applicable,Not Applicable,West Of,,False,True,22912,BOYNTON AV,WOODCREEK LN,37.3040967,-121.9660489
11,691267,CR-0000097512,0,0,0,0,23-058-9704,False,True,51,2/25/2023 10:00:00 AM,No Pedestrians Involved,Unknown,No Unusual Conditions,Dark - No Street Light,Unknown,No Controls Present/Factor,Other,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,False,22912,BOYNTON AV,WOODCREEK LN,37.3040967,-121.9660489
12,689837,CR-0000095863,1,0,0,0,22-343-0836,False,False,27,12/9/2022 9:38:00 PM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Cloudy,Vehicle/Pedestrian,Related,Skateboard,North,South,South Of,ELECTRIC SKATEBOARD,False,False,22780,BOYNTON AV,CARAVELLA DR,37.30192905,-121.966005
13,696424,CR-0000099601,0,1,0,0,23-280-0272,False,False,70,10/7/2023 8:40:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,East Of,BIKE,False,False,28478,CALERO AV,MACADAM CT,37.24136832,-121.8187042
14,722135,CR-0000103400,0,0,0,0,24-072-4002,False,True,51,3/12/2024 5:35:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,12011,BAGSHAW CT,LEAN AV,37.24018142,-121.8170357
15,687598,CR-0000094391,3,0,0,0,22-265-0672,False,False,412,9/22/2022 4:26:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
16,685396,CR-0000094131,0,0,0,0,22-273-0316,False,False,0,9/30/2022 10:00:00 AM,No Pedestrians Involved,Dry,Construction - Repair Zone,Daylight,Violation Driver 1,Controls Functioning,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
17,683266,CR-0000092854,0,0,0,0,22-201-0463,False,False,0,7/20/2022 1:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
18,682353,CR-0000091916,0,0,0,0,22-100-0340,False,False,51,4/10/2022 1:04:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Obscured,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,True,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
19,683232,CR-0000092814,0,0,0,0,22-117-4002,False,True,51,4/26/2022 3:40:00 PM,No Pedestrians Involved,Unknown,Unknown,Daylight,Unknown,Unknown,Unknown,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,Unknown,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
20,683284,CR-0000092815,0,0,0,0,22-116-0151,False,False,59,4/26/2022 8:18:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
21,696159,CR-0000099302,0,0,0,0,23-104-4001,False,True,51,4/14/2023 9:10:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
22,694447,CR-0000098412,0,0,0,1,23-259-0731,False,False,220,9/16/2023 7:48:00 PM,Crossing - Not In Crosswalk,Dry,No Unusual Conditions,Dark - No Street Light,Pedestrian At Fault,Controls Functioning,Clear,Vehicle/Pedestrian,Non-Related,Pedestrian,Unknown,Unknown,North Of,PED,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
23,696546,CR-0000099733,0,0,0,0,23-345-4008,False,True,,12/11/2023 1:41:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,Unknown,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
24,698703,CR-0000099952,0,0,0,1,23-251-0203,True,False,44,9/8/2023 8:23:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Related,Other Vehicle,Not Applicable,Not Applicable,North Of,TREE,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
25,698924,CR-0000100226,1,0,0,0,23-320-0659,False,False,193,11/16/2023 6:00:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
26,698975,CR-0000100277,1,0,0,0,23-270-0336,False,False,0,9/27/2023 11:00:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
27,689806,CR-0000095832,1,0,0,0,22-262-0209,False,False,238,9/19/2022 8:10:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,South Of,BIKE,False,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
28,689876,CR-0000095903,2,0,0,0,22-227-0984,False,False,0,9/30/2022 8:09:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
29,691272,CR-0000097517,0,0,0,0,23-052-9707,False,True,0,2/18/2023 12:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
30,691109,CR-0000097302,1,0,0,0,23-039-0737,True,False,0,2/8/2023 7:00:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,TRAFFIC SIGN,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
31,694069,CR-0000098037,0,0,1,0,23-114-0731,False,False,0,4/24/2023 6:25:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
32,716219,CR-0000102189,2,0,0,0,24-043-0643,False,False,205,2/12/2024 4:07:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,False,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
33,711523,CR-0000101025,0,0,0,0,23-256-0516,False,False,190,9/13/2023 3:10:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,False,True,102541,QUIMBY RD,WHITE RD,37.32491777,-121.7969574
34,717458,CR-0000102482,2,0,0,0,24-087-0374,False,False,0,3/27/2024 11:36:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,111066,STURLA DR,WHITE RD,37.32308217,-121.796402
35,688686,CR-0000094508,0,1,0,0,22-262-0286,False,False,73,9/19/2022 9:53:00 AM,Crossing - Not In Crosswalk,Dry,No Unusual Conditions,Daylight,Pedestrian At Fault,Controls Functioning,Clear,Vehicle/Pedestrian,Non-Related,Pedestrian,East,West,North Of,PED,False,False,68056,GRANDPARK CI/ROYALE PARK DR,VISTAPARK DR,37.26803454,-121.847671
36,682001,CR-0000091510,1,0,0,0,22-078-0889,False,False,306,3/19/2022 11:03:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Bike At Fault,No Controls Present/Factor,Cloudy,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,South Of,BIKE,False,False,97019,OBERT DR,SNELL AV,37.26168754,-121.8309082
37,696496,CR-0000099683,0,1,0,0,23-352-0210,False,False,0,12/18/2023 8:03:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Rain,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,True,97019,OBERT DR,SNELL AV,37.26168754,-121.8309082
38,681625,CR-0000091022,0,0,1,0,22-058-0799,False,False,0,2/27/2022 8:06:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Bike At Fault,Controls Functioning,Clear,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,False,11142,AVENIDA ESPANA,SANTA TERESA BL,37.22405549,-121.7672379
39,689239,CR-0000095198,0,0,0,0,22-302-0756,True,False,28,10/29/2022 7:21:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Unknown,Controls Functioning,Clear,Hit Object,Related,Fixed Object,Not Applicable,Not Applicable,West Of,SIGNAL POLE,False,True,11142,AVENIDA ESPANA,SANTA TERESA BL,37.22405549,-121.7672379
40,694129,CR-0000098070,1,1,0,0,23-077-0318,False,False,793,3/18/2023 12:07:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,North Of,BIKE(2),False,False,11142,AVENIDA ESPANA,SANTA TERESA BL,37.22405549,-121.7672379
41,685075,CR-0000093744,0,1,0,0,22-216-0329,False,False,1100,8/4/2022 10:21:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Motorcycle,Not Applicable,Not Applicable,South Of,,True,False,136850,HELLYER AV,PIERCY RD,37.25818225,-121.7813137
42,682413,CR-0000091976,0,0,1,0,22-107-0094,True,False,990,4/17/2022 1:57:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,West Of,TREE,False,False,136850,HELLYER AV,PIERCY RD,37.25818225,-121.7813137
43,689809,CR-0000095833,2,1,0,0,22-338-0290,True,False,0,12/4/2022 10:25:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,LIGHT POLE,False,False,136850,HELLYER AV,PIERCY RD,37.25818225,-121.7813137
44,716105,CR-0000102060,1,0,0,0,24-019-0382,False,False,0,1/19/2024 12:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,129326,BASKING RIDGE AV,CHELSEA CROSSING,37.24078319,-121.7635355
45,691397,CR-0000097646,0,0,0,0,23-064-0755,False,False,230,3/5/2023 10:04:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,False,True,33351,CARLSBAD DR,TUCSON DR,37.24728967,-121.8761771
46,690975,CR-0000097146,0,0,0,0,23-049-0866,False,False,19,2/18/2023 9:50:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,True,33362,CARLSBAD DR,VIA MONTE DR,37.24690623,-121.8776661
47,711771,CR-0000101528,0,0,0,0,23-361-0176,False,False,0,12/27/2023 7:50:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Cloudy,Head On,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,True,True,3904,ALLENWOOD CT,ALLENWOOD DR,37.32671162,-121.7948844
48,722274,CR-0000103568,0,0,0,0,24-086-4001,False,True,51,3/26/2024 12:45:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,False,False,65295,GAYWOOD CT,MASONWOOD ST,37.3260608,-121.7966243
49,689259,CR-0000095213,2,0,0,0,22-286-0567,False,False,0,10/13/2022 2:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,85645,LOVEWOOD WY,MASONWOOD ST,37.32527655,-121.7940655
50,682961,CR-0000092538,0,0,0,0,22-162-0414,False,False,90,6/11/2022 5:00:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,False,True,84237,LINKSHEAD CT,STEVENS LN,37.32096468,-121.7897
51,696366,CR-0000099523,0,0,0,0,23-142-4000,False,True,51,5/21/2023 7:00:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,False,False,94104,MT LASSEN DR,MT LOGAN DR,37.3529173,-121.8084009
52,720948,CR-0000103183,0,0,0,0,24-049-0802,False,False,22,2/18/2024 11:25:00 PM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Rain,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,East Of,,True,True,94104,MT LASSEN DR,MT LOGAN DR,37.3529173,-121.8084009
53,699081,CR-0000100387,0,0,0,0,23-123-0066,True,False,580,5/3/2023 2:57:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Unknown,No Controls Present/Factor,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,West Of,PED SIGNAL,False,False,71125,HAYWORTH DR,MARTEN AV,37.34641901,-121.8048749
54,690498,CR-0000096602,0,0,0,0,22-296-9701,False,True,51,10/19/2022 4:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,No Controls Present/Factor,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,False,71125,HAYWORTH DR,MARTEN AV,37.34641901,-121.8048749
55,716190,CR-0000102077,1,0,0,0,24-011-0909,False,False,390,1/11/2024 11:31:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,False,False,71125,HAYWORTH DR,MARTEN AV,37.34641901,-121.8048749
56,719749,CR-0000102922,0,0,0,0,24-020-0059,False,False,190,1/20/2024 1:34:00 AM,No Pedestrians Involved,Wet,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Rain,Broadside,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,True,True,18314,BIKINI AV,KILCHOAN WY,37.32395216,-121.8391288
57,688781,CR-0000094625,0,0,0,0,22-294-4004,False,True,51,10/21/2022 9:28:00 AM,No Pedestrians Involved,Unknown,Unknown,Daylight,Unknown,Unknown,Unknown,Other,Non-Related,Unknown,Not Applicable,Not Applicable,South Of,,False,True,70290,HAPPY VALLEY AV,WILLIAMS RD,37.30855925,-121.9899484
58,696123,CR-0000099265,0,2,1,0,23-225-0738,False,False,0,8/13/2023 7:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,114773,BRANHAM LN,DESIN DR,37.2616125,-121.8818216
59,716176,CR-0000102157,1,0,0,0,24-030-0577,False,False,36,1/30/2024 2:31:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,False,False,114773,BRANHAM LN,DESIN DR,37.2616125,-121.8818216
60,711850,CR-0000101520,0,0,0,0,23-269-4001,False,True,0,9/24/2023 9:00:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,32306,CAPITOL AV,EMILIE DR,37.35857479,-121.8323606
61,682258,CR-0000091805,0,0,0,0,22-104-9710,False,True,0,4/14/2022 12:00:00 PM,No Pedestrians Involved,Wet,Construction - Repair Zone,Daylight,Unknown,Controls Functioning,Rain,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,BIKE,False,False,32647,CAPITOL AV,SIERRA GRANDE WY,37.36036008,-121.8336013
62,722413,CR-0000103708,0,0,0,0,24-094-0056,False,False,51,4/6/2024 1:55:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,True,True,109075,SIERRA VISTA CT,SIERRA VISTA PL,37.35954967,-121.8365058
63,719660,CR-0000102831,0,0,0,0,24-007-0022,False,False,120,1/7/2024 12:28:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,False,108987,SIERRA GRANDE WY,SIERRA VISTA PL,37.35893298,-121.8359078
64,711524,CR-0000100847,0,0,0,0,23-185-0497,False,False,54,7/2/2023 3:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,True,109086,SIERRA VISTA PL,VISTA DEL SOL,37.35830462,-121.8352961
65,699311,CR-0000100638,0,0,0,0,23-156-4002,False,True,,6/1/2023 7:30:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Related,Parked Vehicle,Not Applicable,Not Applicable,Unknown,,False,False,109064,SIERRA MONTE WY,SIERRA VISTA PL,37.35781539,-121.8348892
66,689366,CR-0000095292,2,0,0,0,22-322-0690,False,False,0,11/18/2022 6:10:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,14838,BAYLISS DR,SANTA TERESA BL,37.21971784,-121.7619748
67,685061,CR-0000093735,2,0,0,0,22-213-1044,False,False,0,8/1/2022 11:34:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Related,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,14838,BAYLISS DR,SANTA TERESA BL,37.21971784,-121.7619748
68,690595,CR-0000096716,0,0,0,0,23-027-0214,False,False,0,1/27/2023 8:53:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,86404,LYONSVILLE LN,WALTRIP LN,37.2432875,-121.8880323
69,695843,CR-0000098908,0,0,0,0,23-106-0860,False,False,30,4/16/2023 11:50:00 PM,No Pedestrians Involved,Dry,Unknown,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,True,52777,DUBERT LN,SANTEE DR,37.32821739,-121.8455087
70,683485,CR-0000093081,0,0,0,0,22-216-4002,False,True,,8/4/2022 6:05:00 AM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Related,Other Vehicle,Unknown,Unknown,West Of,,False,True,18325,BIKINI AV,LETITIA ST,37.31765127,-121.8342987
71,684763,CR-0000093407,0,0,0,0,22-184-0031,False,False,0,7/3/2022 12:33:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,Street sign and Light Pole Undamaged,True,True,104532,ROEDER RD,WAR ADMIRAL AV,37.26841355,-121.8100075
72,694470,CR-0000098435,2,0,0,0,23-139-0446,False,False,0,5/19/2023 12:47:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,82708,LEAN AV,OMIRA DR,37.25022146,-121.8174872
73,719704,CR-0000102876,0,0,0,0,24-013-4003,False,True,51,1/13/2024 4:00:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,False,False,68782,GREY GHOST AV,ROEDER RD,37.26569016,-121.8099776
74,685021,CR-0000093705,0,0,0,0,22-203-0918,False,False,90,7/22/2022 9:49:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,True,True,53217,DURANT AV,INDEPENDENCE DR,37.29430796,-121.8394532
75,689242,CR-0000095215,0,0,0,0,22-296-0277,False,False,65,10/23/2022 7:20:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,True,False,53217,DURANT AV,INDEPENDENCE DR,37.29430796,-121.8394532
76,684984,CR-0000093612,0,0,0,0,22-127-0121,False,False,0,8/5/2022 3:42:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,False,True,53250,DURANT AV,POCATELLO DR,37.29488076,-121.8400476
